"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ERII","Energy Recovery, Inc.","7.68","$410.91M","2008","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/erii",
"ETE","Energy Transfer Equity, L.P.","18.95","$20.45B","2006","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/ete",
"ETP","Energy Transfer Partners, L.P.","24.18","$28.2B","n/a","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/etp",
"ETP^C","Energy Transfer Partners, L.P.","25.45","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/etp^c",
"ETP^D","Energy Transfer Partners, L.P.","25.84","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/etp^d",
"EGC","Energy XXI Gulf Coast, Inc.","9","$300.56M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/egc",
"ERF","Enerplus Corporation","13.51","$3.31B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/erf",
"ENS","Enersys","81.36","$3.43B","2004","Consumer Non-Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/ens",
"EGL","Engility Holdings, Inc.","34.56","$1.28B","2015","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/egl",
"ENG","ENGlobal Corporation","1.2997","$35.76M","n/a","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/eng",
"E","ENI S.p.A.","37.77","$68.63B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/e",
"ENLK","EnLink Midstream Partners, LP","18.18","$6.37B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/enlk",
"ENLC","EnLink Midstream, LLC","17.75","$3.21B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/enlc",
"EBF","Ennis, Inc.","21.2","$539.68M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/ebf",
"ENVA","Enova International, Inc.","31.6","$1.08B","2014","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/enva",
"ENPH","Enphase Energy, Inc.","5.69","$551.07M","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/enph",
"NPO","EnPro Industries","70.13","$1.47B","n/a","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/npo",
"ESV","ENSCO plc","7.39","$3.23B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/esv",
"ENSV","ENSERVCO Corporation","1.01","$51.86M","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/ensv",
"ESGR","Enstar Group Limited","214.7","$4.61B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esgr",
"ESGRP","Enstar Group Limited","25.7","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esgrp",
"ESNC","EnSync, Inc.","0.3497","$19.8M","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/esnc",
"ENFC","Entegra Financial Corp.","29.55","$203.55M","2014","Finance","Banks","https://www.nasdaq.com/symbol/enfc",
"ENTG","Entegris, Inc.","35.875","$5.08B","2000","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/entg",
"ENTX","Entera Bio Ltd.","5.0796","$58.05M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/entx",
"ENTXW","Entera Bio Ltd.","0.88","n/a","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/entxw",
"ETM","Entercom Communications Corp.","7.15","$989.93M","1999","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/etm",
"EAB","Entergy Arkansas, Inc.","24.75","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eab",
"EAE","Entergy Arkansas, Inc.","23.9803","n/a","2013","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eae",
"EAI","Entergy Arkansas, Inc.","24.37","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/eai",
"ETR","Entergy Corporation","82.76","$16.23B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/etr",
"ELC","Entergy Louisiana, Inc.","24.33","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elc",
"ELJ","Entergy Louisiana, Inc.","25.0371","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elj",
"ELU","Entergy Louisiana, Inc.","23.55","n/a","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elu",
"EMP","Entergy Mississippi, Inc.","24.3957","n/a","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/emp",
"ENJ","Entergy New Orleans, LLC","24.8356","n/a","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/enj",
"ENO","Entergy New Orleans, LLC","25.33","n/a","2016","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/eno",
"EZT","Entergy Texas Inc","25.98","n/a","2014","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ezt",
"EBTC","Enterprise Bancorp Inc","37.67","$440.6M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ebtc",
"EFSC","Enterprise Financial Services Corporation","57.25","$1.32B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/efsc",
"EPD","Enterprise Products Partners L.P.","29.2","$63.44B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/epd",
"EVC","Entravision Communications Corporation","4.45","$395.27M","2000","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/evc",
"EGI","Entree Resources Ltd.","0.43","$74.98M","2017","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/egi",
"ENV","Envestnet, Inc","59.85","$2.71B","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/env",
"EVI","EnviroStarm, Inc.","40.6","$453.55M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/evi",
"EVHC","Envision Healthcare Corporation","44.32","$5.37B","2016","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/evhc",
"EVA","Enviva Partners, LP","29.55","$778.65M","2015","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/eva",
"ENZ","Enzo Biochem, Inc.","4.45","$209.89M","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/enz",
"EOG","EOG Resources, Inc.","125.93","$72.9B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eog",
"EPE","EP Energy Corporation","2.05","$515.3M","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/epe",
"EPAM","EPAM Systems, Inc.","128.11","$6.84B","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/epam",
"EPZM","Epizyme, Inc.","9.875","$686.19M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/epzm",
"PLUS","ePlus inc.","100.05","$1.4B","1996","Technology","Retail: Computer Software & Peripheral Equipment","https://www.nasdaq.com/symbol/plus",
"EPR","EPR Properties","68.04","$5.06B","1997","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/epr",
"EPR^C","EPR Properties","27.83","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^c",
"EPR^E","EPR Properties","35.45","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^e",
"EPR^G","EPR Properties","23.1494","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/epr^g",
"EQT","EQT Corporation","49.49","$13.07B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/eqt",
"EQGP","EQT GP Holdings, LP","21.54","$6.51B","2015","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/eqgp",
"EQM","EQT Midstream Partners, LP","50.3","$6.06B","2012","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/eqm",
"EFX","Equifax, Inc.","125.78","$15.15B","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/efx",
"EQIX","Equinix, Inc.","447.89","$35.59B","2000","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eqix",
"EQNR","Equinor ASA","26.11","$86.93B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/eqnr",
"EQBK","Equity Bancshares, Inc.","41.12","$649.18M","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/eqbk",
"EQC","Equity Commonwealth","31.39","$3.81B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eqc",
"EQC^D","Equity Commonwealth","26.15","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eqc^d",
"ELS","Equity Lifestyle Properties, Inc.","90.95","$8.1B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/els",
"EQR","Equity Residential","65.97","$24.3B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eqr",
"EQS","Equus Total Return, Inc.","2.147","$29.02M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eqs",
"ERA","Era Group, Inc.","14.08","$305.37M","n/a","Transportation","Transportation Services","https://www.nasdaq.com/symbol/era",
"ERIC","Ericsson","7.87","$26.24B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/eric",
"ERIE","Erie Indemnity Company","126.55","$6.62B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/erie",
"EROS","Eros International PLC","12.95","$793.05M","2013","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/eros",
"ERYP","Erytech Pharma S.A.","11.41","$204.67M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/eryp",
"ESCA","Escalade, Incorporated","13.4","$193.17M","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/esca",
"ESE","ESCO Technologies Inc.","61.95","$1.6B","n/a","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/ese",
"ESPR","Esperion Therapeutics, Inc.","47.75","$1.28B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/espr",
"ESP","Espey Mfg. & Electronics Corp.","26","$61.98M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/esp",
"ESQ","Esquire Financial Holdings, Inc.","25.5","$189.87M","2017","Finance","Commercial Banks","https://www.nasdaq.com/symbol/esq",
"ESSA","ESSA Bancorp, Inc.","15.76","$185.44M","n/a","Finance","Banks","https://www.nasdaq.com/symbol/essa",
"EPIX","ESSA Pharma Inc.","3.1287","$18.07M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/epix",
"ESND","Essendant Inc.","16.24","$611.54M","n/a","Consumer Services","Paper","https://www.nasdaq.com/symbol/esnd",
"ESNT","Essent Group Ltd.","38.25","$3.75B","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esnt",
"EPRT","Essential Properties Realty Trust, Inc.","13.51","$553.6M","2018","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eprt",
"ESS","Essex Property Trust, Inc.","234.18","$15.47B","1994","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ess",
"ESTA","Establishment Labs Holdings Inc.","25.48","$471.04M","2018","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/esta",
"EL","Estee Lauder Companies, Inc. (The)","136.74","$50.19B","1995","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/el",
"ESL","Esterline Technologies Corporation","84.05","$2.47B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/esl",
"ESTR","Estre Ambiental, Inc.","7.72","$395.16M","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/estr",
"ESTRW","Estre Ambiental, Inc.","0.44","n/a","n/a","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/estrw",
"VBND","ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund","47.4287","$407.89M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vbnd",
"VUSE","ETF Series Solutions Trust Vident Core US Equity ETF","34.29","$521.21M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vuse",
"VIDI","ETF Series Solutions Trust Vident International Equity Fund","25.66","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/vidi",
"ETH","Ethan Allen Interiors Inc.","22.25","$604.99M","1993","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/eth",
"ETSY","Etsy, Inc.","42.41","$5.07B","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/etsy",
"CLWT","Euro Tech Holdings Company Limited","4","$8.25M","1997","Consumer Durables","Diversified Electronic Products","https://www.nasdaq.com/symbol/clwt",
"EDRY","EuroDry Ltd.","7.51","$1.5B","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/edry",
"EURN","Euronav NV","8.5","$1.86B","2015","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/eurn",
"EEFT","Euronet Worldwide, Inc.","93.96","$4.82B","1997","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/eeft",
"EEA","European Equity Fund, Inc. (The)","9.5","$75.53M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eea",
"ESEA","Euroseas Ltd.","1.7034","$19.2M","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/esea",
"EVBN","Evans Bancorp, Inc.","47.75","$229.51M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/evbn",
"EVLO","Evelo Biosciences, Inc.","13.59","$431.08M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/evlo",
"EVBG","Everbridge, Inc.","48.2","$1.39B","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/evbg",
"EVR","Evercore Inc.","114.95","$4.68B","2006","Finance","Investment Managers","https://www.nasdaq.com/symbol/evr",
"RE","Everest Re Group, Ltd.","219.97","$9.01B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/re",
"EVK","Ever-Glory International Group, Inc.","3.7","$54.75M","n/a","Consumer Non-Durables","Apparel","https://www.nasdaq.com/symbol/evk",
"EVRG","Evergy, Inc.","55.82","$15.14B","2018","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/evrg",
"EVRI","Everi Holdings Inc.","7.68","$529.63M","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/evri",
"EVER","EverQuote, Inc.","13.91","$345.01M","2018","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/ever",
"ES","Eversource Energy","60","$19.01B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/es",
"MRAM","Everspin Technologies, Inc.","8.71","$145.23M","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/mram",
"EVTC","Evertec, Inc.","24.1","$1.75B","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/evtc",
"EVLV","EVINE Live Inc.","1.4","$91.87M","n/a","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/evlv",
"EVOP","EVO Payments, Inc.","21.64","$1.63B","2018","n/a","n/a","https://www.nasdaq.com/symbol/evop",
"EVFM","Evofem Biosciences, Inc.","1.96","$51.48M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/evfm",
"EVGN","Evogene Ltd.","2.98","$76.75M","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/evgn",
"EVOK","Evoke Pharma, Inc.","2.77","$46.47M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/evok",
"EVH","Evolent Health, Inc","20.55","$1.6B","2015","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/evh",
"EOLS","Evolus, Inc.","18.76","$499.77M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eols",
"EPM","Evolution Petroleum Corporation, Inc.","10.65","$353.28M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/epm",
"EVOL","Evolving Systems, Inc.","2.45","$29.68M","1998","Technology","EDP Services","https://www.nasdaq.com/symbol/evol",
"AQUA","Evoqua Water Technologies Corp.","21.62","$2.46B","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aqua",
"EXAS","Exact Sciences Corporation","51.66","$6.3B","2001","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/exas",
"XAN","Exantas Capital Corp.","11.17","$353.54M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/xan",
"XAN^C","Exantas Capital Corp.","25.46","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/xan^c",
"FLAG","Exchange Traded Concepts Trust FLAG-Forensic Accounting Long-S","43.08","$17.23M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/flag",
"ROBO","Exchange Traded Concepts Trust ROBO Global Robotics and Automa","40.78","$187.59M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/robo",
"XELA","Exela Technologies, Inc.","4.93","$752.15M","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/xela",
"EXEL","Exelixis, Inc.","22.4","$6.65B","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/exel",
"EXC","Exelon Corporation","42.29","$40.83B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/exc",
"EXFO","EXFO Inc","3.875","$90.93M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/exfo",
"EXLS","ExlService Holdings, Inc.","59.07","$2.03B","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/exls",
"EXPI","eXp World Holdings, Inc.","14.375","$809.37M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/expi",
"EXPE","Expedia Group, Inc.","132.85","$19.87B","n/a","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/expe",
"EXPD","Expeditors International of Washington, Inc.","76.67","$13.39B","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/expd",
"EXPO","Exponent, Inc.","50.375","$2.62B","n/a","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/expo",
"ESRX","Express Scripts Holding Company","77.98","$43.8B","1992","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/esrx",
"EXPR","Express, Inc.","9.71","$723.63M","2010","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/expr",
"STAY","Extended Stay America, Inc.","21.62","$4.08B","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/stay",
"EXTN","Exterran Corporation","27.24","$984.29M","2015","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/extn",
"EXR","Extra Space Storage Inc","90.95","$11.47B","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/exr",
"XOG","Extraction Oil & Gas, Inc.","15.52","$2.73B","2016","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/xog",
"EXTR","Extreme Networks, Inc.","8.44","$978.13M","1999","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/extr",
"XOM","Exxon Mobil Corporation","79.91","$338.34B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/xom",
"EYEG","Eyegate Pharmaceuticals, Inc.","0.5349","$22.4M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eyeg",
"EYEGW","Eyegate Pharmaceuticals, Inc.","0.0868","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eyegw",
"EYEN","Eyenovia, Inc.","5.85","$58.13M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/eyen",
"EYPT","EyePoint Pharmaceuticals, Inc.","2.2","$163.93M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/eypt",
"EZPW","EZCORP, Inc.","10.95","$596.39M","1991","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/ezpw",
"FNB","F.N.B. Corporation","13.07","$4.24B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fnb",
"FNB^E","F.N.B. Corporation","28.97","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fnb^e",
"FFIV","F5 Networks, Inc.","172.26","$10.48B","1999","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/ffiv",
"FN","Fabrinet","39.5","$1.46B","2010","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/fn",
"FB","Facebook, Inc.","176.37","$509.22B","2012","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/fb",
"FDS","FactSet Research Systems Inc.","202.17","$7.75B","1996","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/fds",
"FICO","Fair Isaac Corporation","209.13","$6.09B","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fico",
"DAVE","Famous Dave&#39;s of America, Inc.","6.45","$58.5M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/dave",
"SFUN","Fang Holdings Limited","3.02","$1.01B","2010","Technology","EDP Services","https://www.nasdaq.com/symbol/sfun",
"FANH","Fanhua Inc.","27.45","$1.78B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/fanh",
"FPAC","Far Point Acquisition Corporation","9.74","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/fpac",
"FPAC.U","Far Point Acquisition Corporation","n/a","n/a","2018","n/a","n/a","https://www.nasdaq.com/symbol/fpac.u",
"FPAC.WS","Far Point Acquisition Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fpac.ws",
"FARM","Farmer Brothers Company","28.65","$484.99M","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/farm",
"FMAO","Farmers & Merchants Bancorp, Inc.","47.2715","$437.92M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fmao",
"FFKT","Farmers Capital Bank Corporation","57.55","$432.77M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffkt",
"FMNB","Farmers National Banc Corp.","16.05","$442.08M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fmnb",
"FPI","Farmland Partners Inc.","6.71","$220.55M","2014","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/fpi",
"FPI^B","Farmland Partners Inc.","23.8","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fpi^b",
"FAMI","FARMMI, INC.","3.87","$45.2M","2018","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/fami",
"FARO","FARO Technologies, Inc.","67.4","$1.14B","1997","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/faro",
"FAST","Fastenal Company","56.42","$16.19B","1987","Consumer Services","RETAIL: Building Materials","https://www.nasdaq.com/symbol/fast",
"FAT","FAT Brands Inc.","6.4842","$65.84M","2017","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/fat",
"FATE","Fate Therapeutics, Inc.","10.52","$556.07M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/fate",
"FBSS","Fauquier Bankshares, Inc.","21.9999","$83.02M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fbss",
"FBK","FB Financial Corporation","43.87","$1.35B","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/fbk",
"FFG","FBL Financial Group, Inc.","81.05","$2.01B","1996","Finance","Life Insurance","https://www.nasdaq.com/symbol/ffg",
"FCB","FCB Financial Holdings, Inc.","51.6","$2.41B","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/fcb",
"AGM","Federal Agricultural Mortgage Corporation","93.75","$998.61M","n/a","Finance","Finance Companies","https://www.nasdaq.com/symbol/agm",
"AGM.A","Federal Agricultural Mortgage Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/agm.a",
"AGM^A","Federal Agricultural Mortgage Corporation","25.085","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/agm^a",
"AGM^B","Federal Agricultural Mortgage Corporation","26.3372","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/agm^b",
"AGM^C","Federal Agricultural Mortgage Corporation","25.72","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/agm^c",
"FRT","Federal Realty Investment Trust","126.04","$9.23B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/frt",
"FRT^C","Federal Realty Investment Trust","23.93","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/frt^c",
"FSS","Federal Signal Corporation","23.74","$1.42B","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/fss",
"FSAC","Federal Street Acquisition Corp.","9.88","$568.1M","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fsac",
"FSACU","Federal Street Acquisition Corp.","10.45","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fsacu",
"FSACW","Federal Street Acquisition Corp.","1.45","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/fsacw",
"FII","Federated Investors, Inc.","22.77","$2.31B","1998","Finance","Investment Managers","https://www.nasdaq.com/symbol/fii",
"FMN","Federated Premier Municipal Income Fund","13.44","$154.52M","2002","n/a","n/a","https://www.nasdaq.com/symbol/fmn",
"FDX","FedEx Corporation","241.12","$64.12B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/fdx",
"FNHC","FedNat Holding Company","23.43","$298.02M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/fnhc",
"FENC","Fennec Pharmaceuticals Inc.","9.2","$172.9M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/fenc",
"RACE","Ferrari N.V.","126.18","$30.93B","2015","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/race",
"FGP","Ferrellgas Partners, L.P.","3.16","$307M","1994","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/fgp",
"FOE","Ferro Corporation","22.82","$1.92B","n/a","Basic Industries","Paints/Coatings","https://www.nasdaq.com/symbol/foe",
"GSM","Ferroglobe PLC","7.53","$1.29B","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/gsm",
"FFBW","FFBW, Inc.","11.2224","$74.21M","2017","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ffbw",
"FG","FGL Holdings","8.97","$1.92B","2017","Finance","Life Insurance","https://www.nasdaq.com/symbol/fg",
"FG.WS","FGL Holdings","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fg.ws",
"FCAU","Fiat Chrysler Automobiles N.V.","17.24","$33.78B","2014","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/fcau",
"FBR","Fibria Celulose S.A.","19.68","$10.9B","1997","Basic Industries","Paper","https://www.nasdaq.com/symbol/fbr",
"FCSC","Fibrocell Science Inc.","1.98","$18.44M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fcsc",
"FGEN","FibroGen, Inc","63","$5.26B","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fgen",
"FDBC","Fidelity D & D Bancorp, Inc.","61.5","$230.72M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fdbc",
